claim_id,policy_id,source_system,claimant_anon,claimant_email_anon,claimant_phone_anon,claimant_ssn_anon,claimant_address_anon,anonymization_hash,amount,deductible,coverage_limit,premium_annual,description,date_of_loss,reported_date,adjuster_id,documents,line_of_business,claim_type,claim_subtype,severity,fraud_flag,suspicious_pattern_flag,expected_decision,correct_payout_amount,days_to_first_contact,days_to_investigation_complete,days_to_settle,expected_severity,expected_claim_type,expected_fraud_flag,expected_payout_amount
CLM-2026-01813,HE-2024-344,AS400,CLAIMANT-7342CA,user-7342ca74fa@anonymized.shieldpoint.local,+1-555-734-2CA7,XXX-XX-7342,ADDR-7342CA-ANON,7342CA74FA,2635.77,1500,250000,1898.12,Severe prescription treatment claim for CLAIMANT-7342CA.,2026-12-22,2026-12-22,ADJ-030,medical_records.pdf,health,health,prescription,high,False,False,approve,1135.77,1,9,28,high,health,False,1135.77
CLM-2026-03442,HO-2024-426,AS400,CLAIMANT-6E153E,user-6e153ec4be@anonymized.shieldpoint.local,+1-555-6E1-53EC,XXX-XX-6E15,ADDR-6E153E-ANON,6E153EC4BE,1468.38,1500,250000,2605.3,Minor water damage damage reported by CLAIMANT-6E153E.,2025-08-26,2025-08-27,ADJ-036,adjuster_inspection.pdf|photos_water_damage_damage.pdf,homeowners,homeowners,water_damage,low,False,False,approve,0.0,2,3,6,low,homeowners,False,0.0
CLM-2026-00035,HO-2024-269,PORTAL,CLAIMANT-961735,user-961735a37a@anonymized.shieldpoint.local,+1-555-961-735A,XXX-XX-9617,ADDR-961735-ANON,961735A37A,17808.82,1000,500000,2597.63,Significant mold damage reported by CLAIMANT-961735. Note: peril typically excluded from standard policy.,2026-09-11,2026-09-14,ADJ-038,hydrology_report.pdf|photos_mold_damage.pdf,homeowners,homeowners,mold,high,False,False,deny,0.0,1,9,12,high,homeowners,False,0.0
CLM-2026-02908,HE-2024-094,AS400,CLAIMANT-7E1C6D,user-7e1c6ddb10@anonymized.shieldpoint.local,+1-555-7E1-C6DD,XXX-XX-7E1C,ADDR-7E1C6D-ANON,7E1C6DDB10,1470.9,1000,300000,2254.54,Small surgery emergency treatment claim for CLAIMANT-7E1C6D.,2025-03-02,2025-03-02,ADJ-036,prior_authorization.pdf|medical_records.pdf,health,health,surgery_emergency,low,False,False,deny,0.0,1,2,5,low,health,False,0.0
CLM-2026-00161,AU-2024-402,PORTAL,CLAIMANT-8D5858,user-8d58580363@anonymized.shieldpoint.local,+1-555-8D5-8580,XXX-XX-8D58,ADDR-8D5858-ANON,8D58580363,589.26,500,50000,1439.61,Small collision incident reported by CLAIMANT-8D5858.,2026-04-13,2026-04-20,ADJ-005,police_report.pdf,auto,auto,collision,low,False,False,approve,54.49,1,2,6,low,auto,False,54.49
CLM-2026-03578,HE-2024-930,AS400,CLAIMANT-34D7EB,user-34d7eb0a07@anonymized.shieldpoint.local,+1-555-34D-7EB0,XXX-XX-34D7,ADDR-34D7EB-ANON,34D7EB0A07,1678.97,500,300000,2660.29,Moderate physical therapy treatment claim for CLAIMANT-34D7EB.,2026-06-11,2026-06-17,ADJ-024,itemized_bill.pdf|medical_records.pdf|prior_authorization.pdf|treatment_plan.pdf,health,health,physical_therapy,medium,False,False,approve,1178.97,2,5,13,medium,health,False,1178.97
CLM-2026-03256,HO-2024-073,PORTAL,CLAIMANT-52D0A3,user-52d0a3f82c@anonymized.shieldpoint.local,+1-555-52D-0A3F,XXX-XX-52D0,ADDR-52D0A3-ANON,52D0A3F82C,66717.79,500,300000,2105.36,Total loss wind damage reported by CLAIMANT-52D0A3.,2026-12-28,2026-12-31,ADJ-031,photos_wind_damage.pdf,homeowners,homeowners,wind,catastrophic,False,False,route_to_manual_review,0.0,1,18,31,catastrophic,homeowners,False,0.0
CLM-2026-01251,HE-2024-269,AS400,CLAIMANT-B9FABD,user-b9fabd5bc2@anonymized.shieldpoint.local,+1-555-B9F-ABD5,XXX-XX-B9FA,ADDR-B9FABD-ANON,B9FABD5BC2,957.68,1500,50000,941.24,Noticeable urgent care treatment claim for CLAIMANT-B9FABD.,2026-06-16,2026-06-21,ADJ-049,prior_authorization.pdf|treatment_plan.pdf,health,health,urgent_care,medium,False,False,deny,0.0,2,5,8,medium,health,False,0.0
CLM-2026-04208,AU-2024-756,PORTAL,CLAIMANT-B4AE8F,user-b4ae8f4a6b@anonymized.shieldpoint.local,+1-555-B4A-E8F4,XXX-XX-B4AE,ADDR-B4AE8F-ANON,B4AE8F4A6B,3826.56,1500,50000,946.59,Noticeable collision incident reported by CLAIMANT-B4AE8F.,2026-12-23,2026-12-28,ADJ-044,medical_report.pdf|repair_estimate.pdf,auto,auto,collision,medium,False,False,approve,2157.73,3,5,13,medium,auto,False,2157.73
CLM-2026-02803,AU-2024-149,PORTAL,CLAIMANT-28C9A9,user-28c9a9ef16@anonymized.shieldpoint.local,+1-555-28C-9A9E,XXX-XX-28C9,ADDR-28C9A9-ANON,28C9A9EF16,5905.53,250,500000,1803.95,Moderate comprehensive theft incident reported by CLAIMANT-28C9A9.,2025-02-02,2025-02-03,ADJ-004,medical_report.pdf|photos_vehicle_damage.pdf|repair_estimate.pdf|police_report.pdf,auto,auto,comprehensive_theft,medium,False,False,approve,3179.39,3,5,17,medium,auto,False,3179.39
CLM-2026-02373,HO-2024-015,PORTAL,CLAIMANT-040EC0,user-040ec07df9@anonymized.shieldpoint.local,+1-555-040-EC07,XXX-XX-040E,ADDR-040EC0-ANON,040EC07DF9,1487.65,1500,250000,1546.5,Minor lightning damage reported by CLAIMANT-040EC0.,2026-10-15,2026-10-15,ADJ-043,photos_lightning_damage.pdf,homeowners,homeowners,lightning,low,False,False,approve,0.0,2,3,9,low,homeowners,False,0.0
